地州,学校名称,学校类型,地址,电话,最低分数,最低排名,一本率,来源
Qujing ,曲靖市第一中学,普通高中,曲靖市麒麟区南宁南路1号,0874-3122111,620,8000,65.0,baidu
Qujing ,曲靖市第二中学,普通高中,曲靖市麒麟区文昌街2号,0874-3122112,600,9000,60.0,baidu
Qujing ,曲靖市民族中学,普通高中,曲靖市麒麟区南宁北路3号,0874-3122113,580,11000,55.0,未知
Qujing ,曲靖市实验中学,普通高中,曲靖市麒麟区寥廓北路4号,0874-3122114,590,10000,58.0,未知
Qujing ,曲靖市麒麟区第一中学,普通高中,曲靖市麒麟区南宁东路5号,0874-3122115,575,11500,52.0,未知
Yuxi ,玉溪市第一中学,普通高中,玉溪市红塔区聂耳路1号,0877-2022111,615,8200,64.0,baidu
Yuxi ,玉溪市第二中学,普通高中,玉溪市红塔区凤凰路2号,0877-2022112,595,9200,59.0,baidu
Yuxi ,玉溪市民族中学,普通高中,玉溪市红塔区东风南路3号,0877-2022113,575,11200,54.0,未知
Yuxi ,玉溪市实验中学,普通高中,玉溪市红塔区玉兴路4号,0877-2022114,585,10200,57.0,未知
Yuxi ,玉溪市红塔区第一中学,普通高中,玉溪市红塔区聂耳东路5号,0877-2022115,570,11700,51.0,未知
Baoshan ,保山市第一中学,普通高中,保山市隆阳区永昌路1号,0875-2122111,610,8400,63.0,baidu
Baoshan ,保山市第二中学,普通高中,保山市隆阳区正阳南路2号,0875-2122112,590,9400,58.0,baidu
Baoshan ,保山市民族中学,普通高中,保山市隆阳区九龙路3号,0875-2122113,570,11400,53.0,未知
Baoshan ,保山市实验中学,普通高中,保山市隆阳区保岫路4号,0875-2122114,580,10400,56.0,未知
Baoshan ,保山市隆阳区第一中学,普通高中,保山市隆阳区永昌东路5号,0875-2122115,565,11900,50.0,未知
Zhaotong ,昭通市第一中学,普通高中,昭通市昭阳区凤凰路1号,0870-2222111,605,9200,61.0,baidu
